Vessel_Name,MMSI,IMO,gfw_flag,CallSign,IHS_GrossTonnage,IHS_LengthOverallLOA(Meters),IHS_YearOfBuild,IHS_ExName,geartype_best,IHS_PortofRegistry,CountryOfControlName,IHS_GroupBeneficialOwner,IHS_RegisteredOwner,IHS_RegisteredOwnerCountryOfRegistration,IHS_Operator,IHS_ShipManager,IHS_TechnicalManager,Non-Compliance History (yes / sister ship),Type of Non-Compliance,Vessel Non-Compliance Description,SisterShip(s)Type of Non-Compliance,Sister Ship Non-Compliance Description,SisterShipWithNonComplianceConcerns,Sources,poor_id,trip_start,trip_duration_days,start_port_iso3,start_port_label,in_transit_aoi_p1,in_transit_aoi_p2,in_primary_area_p1,in_primary_area_p2,num_encounters,num_loitering,num_fishing,vv_url,skylight_url,transit_p1_dark_rendezvous,transit_p1_fishing_activity_history,transit_p1_standard_rendezvous,transit_p1_viirs,transit_p1_sar_sentinel1,transit_p1_eo_sentinel2,transit_p1_eo_landsat_8_9,transit_p2_dark_rendezvous,transit_p2_fishing_activity_history,transit_p2_standard_rendezvous,transit_p2_viirs,transit_p2_sar_sentinel1,transit_p2_eo_sentinel2,transit_p2_eo_landsat_8_9,primary_area_p1_dark_rendezvous,primary_area_p1_fishing_activity_history,primary_area_p1_standard_rendezvous,primary_area_p1_viirs,primary_area_p1_sar_sentinel1,primary_area_p1_eo_sentinel2,primary_area_p1_eo_landsat_8_9,primary_area_p2_dark_rendezvous,primary_area_p2_fishing_activity_history,primary_area_p2_standard_rendezvous,primary_area_p2_viirs,primary_area_p2_sar_sentinel1,primary_area_p2_eo_sentinel2,primary_area_p2_eo_landsat_8_9,New_vessel
SEIRYU MARU NO.5,432425000,8989616,JPN,JM6734,119,39,2003,,pole_and_line,"NICHINAN, MIYAZAKI",JAPAN, ,ASANO SUISAN YK,,ASANO SUISAN YK,ASANO SUISAN YK, ,,,,,,,,FALSE,2025-05-30T05:51:00Z,3.75,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/0283ff807-71ef-c4dd-6ed2-43084ed354e2?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/432425000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
JIN HAE FUN NO368,416002298,8552138,TWN,BJ4794,79,25.8,2004,,drifting_longlines,KAOHSIUNG,TAIWAN,CHANG C-C,CHANG C-C,TAIWAN,CHANG C-C,CHANG C-C, ,,,,,,,,FALSE,2025-04-02T03:02:00Z,61.83,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,25,13,https://globalfishingwatch.org/map/vessel/0d586caac-ca93-1a84-c328-cb66a42ff990?&start=2025-03-31&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416002298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
LINE YU FA NO66,416003205,8557475,TWN,BJ4584,62,27,1999,,drifting_longlines,KAOHSIUNG,TAIWAN,CHEN M-Y,CHEN M-Y,TAIWAN,CHEN M-Y,CHEN M-Y, ,,,,,,,,FALSE,2025-03-25T01:01:00Z,69.92,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,2,50,57,https://globalfishingwatch.org/map/vessel/9dffa6c60-06a2-5977-f0b0-f033c3f81b94?&start=2025-03-23&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416003205,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,TRUE
JIN CHENG LI NO1,416002127,8555087,TWN,BJ4753,59,22.15,2003,YIH SHING NO. 9,drifting_longlines,KAOHSIUNG,TAIWAN,CHEN W,CHEN W,TAIWAN,CHEN W,CHEN W, ,Both,IUU,"JIN CHENG LI NO.1 was sanctioned by Taiwan Fisheries Agency for incorrect processing of shark fins in 2025, with the Operator fined 500,000 NTD",IUU,"A Greenpeace report identifies HE SHUN NO 6 (then called SHENG I HSING NO. 63) as one of a number of vessels that the NGO documented unloading shark fins not attached to carcasses in aTaiwanese ports during a three-month period in 2015, in contravention of Taiwan's shark finning regulation. The vessel has since changed ownership but at the time was listed as owned by Wang Chen",HE SHUN NO. 6 (ex-SHENG I HSING NO. 63),https://en.fa.gov.tw/view.php?theme=Combating_IUU&subtheme=&id=11;  https://www.greenpeace.org/aotearoa/publication/made-in-taiwan/,FALSE,2025-05-27T08:18:00Z,6.63,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/41cb8b608-8ac2-3791-8446-45e03c6d20c9?&start=2025-05-25&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416002127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
JIN CHIN FU NO68,416199800,8790821,TWN,BG4002,99,27.6,2004,CHIUAN FA SHENG NO. 126,drifting_longlines,KAOHSIUNG,TAIWAN,CHEN W-J,CHEN W-J,TAIWAN,CHEN W-J,CHEN W-J, ,,,,,,,,FALSE,2025-05-29T11:21:00Z,4.5,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/cf841d812-2bee-2ebb-889a-3ebd7c63c8aa?&start=2025-05-27&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416199800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
JIN CHIN FU NO36,416004675,8782496,TWN,BG4024,99,23.9,2013,CHEN YI FA NO. 11,drifting_longlines,KAOHSIUNG,TAIWAN, ,CHEN Y-L,,CHEN Y-L,CHEN Y-L, ,,,,,,,,FALSE,2025-05-30T23:41:00Z,3,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/aed80a1ef-ff50-97ba-6b7c-da4eaa18266c?&start=2025-05-28&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416004675,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,35,1,0,0,0,0,0,10,0,0,0,0,0,TRUE
SHUN WUN FA,416228900,8550245,TWN,BJ5006,92,23.9,2009,,drifting_longlines,KAOHSIUNG,TAIWAN,CHEN Y-R,CHEN Y-R,TAIWAN,CHEN Y-R,CHEN Y-R, ,,,,,,,,FALSE,2025-05-29T10:35:00Z,4.54,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/f299265a0-05cb-5956-4303-5622ba3b6272?&start=2025-05-27&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416228900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
TIAN HER FA,416000238,8530958,TWN,BJ4663,64,25.47,2001,,drifting_longlines,KAOHSIUNG,TAIWAN, ,CHERN J-C,,CHERN J-C,CHERN J-C, ,,,,,,,,FALSE,2025-04-05T03:17:00Z,58.83,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,39,69,https://globalfishingwatch.org/map/vessel/6b4203ba1-1ce3-5696-7d56-7859a12d6be0?&start=2025-04-03&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416000238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NO15 CHIDORIMARU,431700250,8621044,JPN,JNMN,161,0,1986,MATSU MARU NO. 38,squid_jigger,"HACHINOHE, AOMORI",JAPAN,CHIDORI,CHIDORI,JAPAN,CHIDORI,CHIDORI, ,,,,,,,,FALSE,2025-05-11T00:32:00Z,22.96,JPN,HACHINOHE,TRUE,TRUE,TRUE,TRUE,0,8,10,https://globalfishingwatch.org/map/vessel/b8472a149-956c-7ab0-3567-86b1de21b431?&start=2025-05-09&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431700250,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
NO23 CHIDORIMARU,431700850,9033414,JPN,JE3038,168,39.94,1991,,squid_jigger,"HACHINOHE, AOMORI",JAPAN,CHIDORI,CHIDORI,JAPAN,CHIDORI,CHIDORI, ,,,,,,,,FALSE,2025-05-11T02:41:00Z,22.88,JPN,HACHINOHE,TRUE,TRUE,TRUE,TRUE,0,10,10,https://globalfishingwatch.org/map/vessel/ac212114f-f3b1-00ab-786b-e4ea8e3ab18f?&start=2025-05-09&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431700850,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
