"ssvid","ais_imo","poor_id","vessel_id","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_id","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","vessel_id_1","npg_2026_phase_1","npg_2026_phase_2","vv_url"
"351537000","8688755",FALSE,"9d12abf11-16b3-c247-7aed-d56b541266e5","RUI SHENG","3FOH6","PAN","carrier","carrier","351537000-9d12abf11-16b3-c247-7aed-d56b541266e5-019d5cc7a4e8",2026-04-05 08:34:41,"CHN","NINGBO",4,25.63,0,0,0,"9d12abf11-16b3-c247-7aed-d56b541266e5",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9d12abf11-16b3-c247-7aed-d56b541266e5?&start=2026-03-01&end=2026-04-30"")"
"412209135",NA,FALSE,"13b2ff18f-fa9a-2e1c-863e-470e0c73a469","JU LONG JIA YA 3","BZYS4","CHN","fishing","fishing","412209135-13b2ff18f-fa9a-2e1c-863e-470e0c73a469-019d343bf1c8",2026-03-28 11:37:17,"CHN","CHN-170",4,33.5,0,6,2,"13b2ff18f-fa9a-2e1c-863e-470e0c73a469",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/13b2ff18f-fa9a-2e1c-863e-470e0c73a469?&start=2026-03-01&end=2026-04-30"")"
"412209136","8540525",FALSE,"562a1eaf7-70cf-21c4-2695-d3747bbbe883","XIN HAI 1259","BZYS5","CHN","fishing","fishing","412209136-562a1eaf7-70cf-21c4-2695-d3747bbbe883-019d76b34790",2026-04-10 09:22:34,"CHN","CHN-2289",4,20.58,0,10,24,"562a1eaf7-70cf-21c4-2695-d3747bbbe883",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/562a1eaf7-70cf-21c4-2695-d3747bbbe883?&start=2026-03-01&end=2026-04-30"")"
"412209139",NA,FALSE,"51d002bfc-c972-31f8-a9c4-08cdbe926447","XIN HAI 1209","BZYS8","CHN","fishing","fishing","412209139-51d002bfc-c972-31f8-a9c4-08cdbe926447-019d76aec350",2026-04-10 09:17:38,"CHN","CHN-2289",4,20.58,0,4,5,"51d002bfc-c972-31f8-a9c4-08cdbe926447",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/51d002bfc-c972-31f8-a9c4-08cdbe926447?&start=2026-03-01&end=2026-04-30"")"
"412209142",NA,FALSE,"ad5df6b76-6c75-f40d-0033-6c591aebb97d","XINHAI1219","BZYT2","CHN","fishing","fishing","412209142-ad5df6b76-6c75-f40d-0033-6c591aebb97d-019d4343d848",2026-03-31 09:40:13,"CHN","CHN-2289",4,30.58,0,5,3,"ad5df6b76-6c75-f40d-0033-6c591aebb97d",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ad5df6b76-6c75-f40d-0033-6c591aebb97d?&start=2026-03-01&end=2026-04-30"")"
"412209143","8540264",FALSE,"bedbd7020-0a1b-a462-4001-396be0410c24","JU LONG JIA YA 10","BZYT3","CHN","fishing","fishing","412209143-bedbd7020-0a1b-a462-4001-396be0410c24-019d43878868",2026-03-31 10:54:09,"CHN","CHN-2289",4,30.54,0,9,20,"bedbd7020-0a1b-a462-4001-396be0410c24",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bedbd7020-0a1b-a462-4001-396be0410c24?&start=2026-03-01&end=2026-04-30"")"
"412331208",NA,FALSE,"c5a8ad39b-b454-cd67-101b-d51eeeb77a0f","FV.LUWEIYUANYUYUN777","BBIT7","CHN","carrier","carrier","412331208-c5a8ad39b-b454-cd67-101b-d51eeeb77a0f-019d55c58408",2026-04-03 23:55:01,"CHN","SHIDAO",4,27,0,0,0,"c5a8ad39b-b454-cd67-101b-d51eeeb77a0f",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5a8ad39b-b454-cd67-101b-d51eeeb77a0f?&start=2026-03-01&end=2026-04-30"")"
"412420418",NA,FALSE,"371af0396-6341-87bf-cb43-968de6b14d88","ZHOUHONGYUAN2","BZ2VF","CHN","fishing","squid_jigger","412420418-371af0396-6341-87bf-cb43-968de6b14d88-019d4bf2bec8",2026-04-02 02:08:13,"CHL","PUNTA ARENAS",4,28.88,0,5,0,"371af0396-6341-87bf-cb43-968de6b14d88",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/371af0396-6341-87bf-cb43-968de6b14d88?&start=2026-03-01&end=2026-04-30"")"
"412420954",NA,FALSE,"2454ae9dc-cfad-2f69-07a9-915bc8c16787","XIN HAI 61","BZV2S","CHN","fishing","fishing","412420954-2454ae9dc-cfad-2f69-07a9-915bc8c16787-019d902f5f88",2026-04-15 08:08:37,"CHN","NINGBO",4,15.63,0,5,5,"2454ae9dc-cfad-2f69-07a9-915bc8c16787",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2454ae9dc-cfad-2f69-07a9-915bc8c16787?&start=2026-03-01&end=2026-04-30"")"
"412420956",NA,FALSE,"ebae40948-80c7-f3b1-79fc-f49ee969f421","XIN HAI 62","BZV3S","CHN","fishing","fishing","412420956-ebae40948-80c7-f3b1-79fc-f49ee969f421-019d90343da0",2026-04-15 08:13:56,"CHN","NINGBO",4,15.63,0,7,31,"ebae40948-80c7-f3b1-79fc-f49ee969f421",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ebae40948-80c7-f3b1-79fc-f49ee969f421?&start=2026-03-01&end=2026-04-30"")"
"412420978","8783402",FALSE,"2f1c47926-6bbd-4a2e-95df-03304c060e87","ZHOU YU 903","BZV6W","CHN","fishing","fishing","412420978-2f1c47926-6bbd-4a2e-95df-03304c060e87-019da6c8b280",2026-04-19 17:27:44,"CHN","ZHOUSHAN",4,11.25,0,2,11,"2f1c47926-6bbd-4a2e-95df-03304c060e87",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2f1c47926-6bbd-4a2e-95df-03304c060e87?&start=2026-03-01&end=2026-04-30"")"
"412420982","8783414",FALSE,"edb86f227-7cdd-fcea-cae7-2f1eaf405166","ZHOU YU 904","BZV7W","CHN","fishing","fishing","412420982-edb86f227-7cdd-fcea-cae7-2f1eaf405166-019d8b2ecf50",2026-04-14 08:49:54,"CHN","ZHOUSHAN",4,16.63,0,2,41,"edb86f227-7cdd-fcea-cae7-2f1eaf405166",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/edb86f227-7cdd-fcea-cae7-2f1eaf405166?&start=2026-03-01&end=2026-04-30"")"
"412421008",NA,FALSE,"baa8c4c19-9961-d924-0860-1131b7e3e9d6","XIN HAI 1206","BZV4Z","CHN","fishing","fishing","412421008-baa8c4c19-9961-d924-0860-1131b7e3e9d6-019d76c7dd18",2026-04-10 09:45:03,"CHN","CHN-2289",4,20.58,0,4,2,"baa8c4c19-9961-d924-0860-1131b7e3e9d6",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/baa8c4c19-9961-d924-0860-1131b7e3e9d6?&start=2026-03-01&end=2026-04-30"")"
"412421011",NA,FALSE,"2e45ce64f-f565-8a0e-ee1e-0b059565e65c","XIN HAI 1208","BZV6Z","CHN","fishing","fishing","412421011-2e45ce64f-f565-8a0e-ee1e-0b059565e65c-019d76c141b0",2026-04-10 09:37:50,"CHN","CHN-2289",4,20.58,0,7,4,"2e45ce64f-f565-8a0e-ee1e-0b059565e65c",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2e45ce64f-f565-8a0e-ee1e-0b059565e65c?&start=2026-03-01&end=2026-04-30"")"
