MMSI,IMO,Name,Skylight Link,dark_rendezvous,eo_landsat_8_9,fishing_activity_history,standard_rendezvous,viirs
"432,666,000",9464388,AEGEAN HIGHWAY,https://app.skylight.earth/vesseldetails/432666000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"304,807,000",7727073,ANIEK,https://app.skylight.earth/vesseldetails/304807000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"431,777,000",9335953,APHRODITE LEADER,https://app.skylight.earth/vesseldetails/431777000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"357,441,000",9414266,ARGENT HIBISCUS,https://app.skylight.earth/vesseldetails/357441000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"235,109,137",9703019,BW LEO,https://app.skylight.earth/vesseldetails/235109137?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"215,230,000",9317975,CMA CGM WHITE SHARK,https://app.skylight.earth/vesseldetails/215230000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,0,0,2
"416,001,344",8553041,DA FENG NO.7,https://app.skylight.earth/vesseldetails/416001344?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,7,0
"416,002,222",8534423,DA-SHENG-YI-,https://app.skylight.earth/vesseldetails/416002222?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,9,0,0
"563,239,900",9935284,EVER MILD,https://app.skylight.earth/vesseldetails/563239900?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,0,1
"412,440,807",9931006,FU YUAN YU 7007,https://app.skylight.earth/vesseldetails/412440807?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,509",9930870,FU YUAN YU 7010,https://app.skylight.earth/vesseldetails/412549509?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,4,0,0
"412,549,511",9930882,FU YUAN YU 7011,https://app.skylight.earth/vesseldetails/412549511?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,3,0,0
"412,549,512",9930894,FU YUAN YU 7012,https://app.skylight.earth/vesseldetails/412549512?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,487",8573106,FU YUAN YU 8281,https://app.skylight.earth/vesseldetails/412549487?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,488",8573118,FU YUAN YU 8282,https://app.skylight.earth/vesseldetails/412549488?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,491",8573132,FU YUAN YU 8285,https://app.skylight.earth/vesseldetails/412549491?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,1,0,0
"412,549,495",8573168,FU YUAN YU 8288,https://app.skylight.earth/vesseldetails/412549495?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,0,0,0
"412,440,682",9869485,FU YUAN YU 8674,https://app.skylight.earth/vesseldetails/412440682?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,0,0
"412,549,217",9900760,FU YUAN YU8293,https://app.skylight.earth/vesseldetails/412549217?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,365",9933729,FUYUANYU 8637,https://app.skylight.earth/vesseldetails/412549365?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,367",9934515,FUYUANYU 8639,https://app.skylight.earth/vesseldetails/412549367?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,4,0,0
"412,549,369",9934539,FUYUANYU 8641,https://app.skylight.earth/vesseldetails/412549369?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,549,371",9934541,FUYUANYU 8642,https://app.skylight.earth/vesseldetails/412549371?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,0,0
"412,549,373",9934565,FUYUANYU 8644,https://app.skylight.earth/vesseldetails/412549373?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,440,223",8549246,FUYUANYU667,https://app.skylight.earth/vesseldetails/412440223?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,3,0,0,0,0
"412,440,366",8548577,FUYUANYU677,https://app.skylight.earth/vesseldetails/412440366?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,549,489",8573120,FUYUANYU8283,https://app.skylight.earth/vesseldetails/412549489?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,4,0,5,0,0
"412,549,492",8573144,FUYUANYU8286,https://app.skylight.earth/vesseldetails/412549492?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,2,0,0
"412,549,496",8573170,FUYUANYU8289,https://app.skylight.earth/vesseldetails/412549496?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,497",9929156,FUYUANYU8290,https://app.skylight.earth/vesseldetails/412549497?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,363",8635,FUYUANYU8635,https://app.skylight.earth/vesseldetails/412549363?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,5,0,0,0,0
"412,549,374",9934577,FUYUANYU8645,https://app.skylight.earth/vesseldetails/412549374?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,549,375",9934589,FUYUANYU8646,https://app.skylight.earth/vesseldetails/412549375?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,0,0
"432,629,000",9339820,GEORGIA HIGHWAY,https://app.skylight.earth/vesseldetails/432629000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"319,409,000",9561277,GLORIOUS ACE,https://app.skylight.earth/vesseldetails/319409000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"416,002,995",8555178,HE SHUN NO 6,https://app.skylight.earth/vesseldetails/416002995?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,2,0
"353,105,000",9726700,HORIZON HIGHWAY,https://app.skylight.earth/vesseldetails/353105000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"416,000,013",8550702,HORNG YIH FWU NO268,https://app.skylight.earth/vesseldetails/416000013?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,1,0
"416,000,411",8550946,HORNG YIH FWU NO368,https://app.skylight.earth/vesseldetails/416000411?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,8,0
"636,018,670",9815604,IBERIAN SEA,https://app.skylight.earth/vesseldetails/636018670?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"432,507,000",9326263,INARIMARU NO.85,https://app.skylight.earth/vesseldetails/432507000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"353,791,000",9300879,IYO,https://app.skylight.earth/vesseldetails/353791000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"416,004,363",8547274,JIA CHENG NO.168,https://app.skylight.earth/vesseldetails/416004363?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,1,0
