Time Range,mmsi,Entry Timestamp,Exit Timestamp,Vessel Presence Hours
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416001252,2024-08-07T00:00:00Z,2024-08-17T23:00:00Z,264
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",257248000,2024-07-18T00:00:00Z,2024-07-19T07:00:00Z,32
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412420537,2024-07-25T02:00:00Z,2024-08-17T23:00:00Z,567
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412420454,2024-08-05T05:00:00Z,2024-08-17T23:00:00Z,290
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549529,2024-07-21T20:00:00Z,2024-08-02T23:00:00Z,285
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416004775,2024-07-22T11:00:00Z,2024-08-17T23:00:00Z,141
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431632000,2024-07-20T20:00:00Z,2024-07-27T18:00:00Z,160
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412209135,2024-07-18T18:00:00Z,2024-08-17T16:00:00Z,213
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416758000,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,317
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416243800,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,52
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412329654,2024-07-18T00:00:00Z,2024-08-15T15:00:00Z,151
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549512,2024-07-19T18:00:00Z,2024-08-17T15:00:00Z,694
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412421022,2024-07-18T00:00:00Z,2024-08-17T18:00:00Z,550
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431710000,2024-08-07T21:00:00Z,2024-08-13T07:00:00Z,131
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002201,2024-07-18T00:00:00Z,2024-08-08T10:00:00Z,191
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440513,2024-07-18T02:00:00Z,2024-08-17T19:00:00Z,84
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431501786,2024-08-06T04:00:00Z,2024-08-17T22:00:00Z,117
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416248900,2024-08-10T21:00:00Z,2024-08-17T23:00:00Z,68
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431171000,2024-07-18T00:00:00Z,2024-08-01T12:00:00Z,349
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416004363,2024-08-06T04:00:00Z,2024-08-17T23:00:00Z,282
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412209143,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,742
